step,1-1hit,1-2hit,1-3hit,2-1hit,2-2hit,2-3hit,
185,0.0371,0.0352,0.0352,0.0645,0.0361,0.0361,
186,0.0371,0.0361,0.0352,0.0654,0.0361,0.0361,
187,0.0371,0.0361,0.0352,0.0654,0.0361,0.0361,
188,0.0381,0.0361,0.0352,0.0654,0.0371,0.0361,
189,0.0381,0.0361,0.0352,0.0674,0.0371,0.0361,
190,0.0381,0.0361,0.0361,0.0674,0.0371,0.0371,
191,0.0381,0.0361,0.0361,0.0674,0.0371,0.0371,
192,0.0381,0.0381,0.0361,0.0684,0.0371,0.0371,
193,0.0381,0.0381,0.0361,0.0684,0.0371,0.0371,
194,0.0391,0.0381,0.0361,0.0684,0.0381,0.0371,
195,0.0391,0.0381,0.0361,0.0684,0.0381,0.0371,
196,0.0391,0.0381,0.0381,0.0693,0.0381,0.0381,
197,0.0391,0.0381,0.0381,0.0693,0.0381,0.0381,
198,0.0391,0.0391,0.0381,0.0693,0.0381,0.0381,
199,0.0391,0.0391,0.0381,0.0703,0.0381,0.0381,
200,0.0400,0.0391,0.0381,0.0703,0.0391,0.0381,
201,0.0400,0.0391,0.0381,0.0703,0.0391,0.0381,
202,0.0400,0.0391,0.0391,0.0713,0.0391,0.0391,
203,0.0400,0.0391,0.0391,0.0713,0.0391,0.0391,
204,0.0400,0.0400,0.0391,0.0713,0.0391,0.0391,
205,0.0400,0.0400,0.0391,0.0713,0.0391,0.0391,
206,0.0410,0.0400,0.0391,0.0723,0.0410,0.0391,
207,0.0410,0.0400,0.0391,0.0723,0.0410,0.0391,
208,0.0410,0.0400,0.0400,0.0723,0.0410,0.0410,
209,0.0410,0.0400,0.0400,0.0742,0.0410,0.0410,
210,0.0410,0.0410,0.0400,0.0742,0.0410,0.0410,
211,0.0410,0.0410,0.0400,0.0742,0.0410,0.0410,
212,0.0430,0.0410,0.0400,0.0742,0.0420,0.0410,
213,0.0430,0.0410,0.0400,0.0752,0.0420,0.0410,
214,0.0430,0.0410,0.0410,0.0752,0.0420,0.0420,
215,0.0430,0.0410,0.0410,0.0752,0.0420,0.0420,
216,0.0430,0.0420,0.0410,0.0762,0.0420,0.0420,
217,0.0430,0.0420,0.0410,0.0762,0.0420,0.0420,
218,0.0439,0.0420,0.0410,0.0762,0.0430,0.0420,
219,0.0439,0.0420,0.0410,0.0771,0.0430,0.0420,
220,0.0439,0.0420,0.0420,0.0771,0.0430,0.0430,
221,0.0439,0.0420,0.0420,0.0771,0.0430,0.0430,
222,0.0439,0.0430,0.0420,0.0771,0.0430,0.0430,
